sentence_id	sentence	sentence_domain	source	is_used	clips_count
32cfd02261e8c0f1c0daa8178034e28526df46d20b90890b6cba8b02df1a8278	Ke ini ọmmọ ekekaaha edikise kọnsịd ikpehe ukara ake ibәnọ ke upenekañ.		Own Submission	1	4
52912f0ed4ad8915e6afe31683a32517bbb5e652c6fdfc5a8ee436950471ed00	Usen oyop ekpo ama adat ekpo aya atop ekeka idiọñ mfuut ufọk ekarika edi ete buuñ ifia.		Own Submission	1	4
5f01d07c27cffa12d79f7dee11b0595c56f0f63d009accfcf89da4a9a4e45c79	Amaawʌt inemesịt abaña adido keet ke otu mbon ekoodo ebo edisịn uñwam enọ ufọkñwet odo.		Own Submission	1	4
71fa4c9e874dde48936763b2a1ca9aae201ef4e22f9af723f3734c3ae13ca33a	Ye ukeed mkpọ se afo adeeme isọn.		Own Submission	1	4
f360e4f30386e7c628fca1bf7b73a4aab824bcbbf0df2061c940674775539e33	Odo iwakka owo ifañ ekennọọ ntodo mbemiso ndisịm umi afo akewakka ufọk owo ifañ mbemiso adiwuọ umi.		Own Submission	1	4
1f4a1a106e51de01f672a74cd6a0e8ff7fbad18f9596913be603af94ace7603c	Se enye anie isatta awo inyʌññọ idue ete ke aba enye atieehe nte inua eniin mkpasi ọmọ adep nte edịm.		Own Submission	1	5
2905aa321bc1bd52b3b4179721be2045555e16682454a6d9a0f96559df202da4	Ekpeep mbon mfen ke akwa ibom sted daña enie ọyọhọ ifiọk ebaña daña eben kọmpiuta enam ñkpọ.		Own Submission	1	5
2bca33549e67788cf6551a996b1d67e91397cfdb1933e6bb3f692f322429b60f	Ando akedo ata akpan mkpọ sia itọñ amaasọñ akọñọ mme mbo yak itọñ uwem ọsọñ ukeed owo mi.		Own Submission	1	5
2fced05a102a1699dd5295deee2cd0ee289c581023b37e0f8a8b3f7530c298fd	Daña akpasọm afeghe itọk ekọñ eketʌmmọ ete añwaan mkpọ akedo barasuen.		Own Submission	1	5
4c0a2d01b6e4b1e2fc79dbb989c71e8125547e482b67a8fe05df8de42615139a	Okoedi ọdọọñ akam ọnọ idem ewa otoiyo mkpọfiọk ọkọọrọ inua.		Own Submission	1	5
527b06b7d05ab8ff2c8f28c9b098121fab930c1c98741e3393a68dfd6e2ba757	Ikañ amaabịppe asak ke esịt ufọk ke usieere mfịn emi ata owo ita owot ke ikọt oku ikọnọ ke idak ikpehe ukara uyo.		Own Submission	1	5
7fb065dca127ef5e9cdcaf2276cdba565f5337813fed83ba5d8b2e6ccd2ca054	Sia akpesop afia ọkọkkọ odo ke odo usen keed mmọ etie se ebod mma udọ ndem otәkkoke ikịm edi mi.		Own Submission	1	5
81491915dc9fb696425969026cb91b109441e07d4cf1144367cad84e07501450	Ayịn ọkọd akpon adidibiot ayịn eka ọmọ.		Own Submission	1	5
891ab18f5ff6b1f6260e591a79bc386e17d0d4e65e319368c77e81cc9fef01e4	Asak akpedo ame adiọñọ se iba ke ufọk ami tọñọ ñkenyọñ ndi ukpu tañña se asʌk atañ odo.		Own Submission	1	5
d75e7573a903d70d4c3bbbd135e220b7eab9757e2fe11fff7788fdd863b41a44	Enye amamaana ọdọọk mkpana ana keed odo idap usiere mme ataba idap emaedo nyiik enye emʌm edibo yak ibọọb enyen etәk.		Own Submission	1	5
db9bb40fb754eff2dbd7632eb40622eaadec894349d16e803c17ca2b227207c2	Odooho kọmred emma eseoke.		Own Submission	1	5
ed3f73d8e9c0f3a750a9bab769646c10c1218650a6d02c920e550f12852269dd	Akpena ebe mfo ọdiọñọ ukeed mbubehe se afo anañña.		Own Submission	1	5
eee899d9ae625b8d5dadf81cc2409827f95521c3e291921c4a105f036496316b	Ikakkakak akpan ekpo editamma ọkọ usʌñ.		Own Submission	1	5
f04c8496108b72282593b5ecaa5fef6b7f51ff4569569211e6d0f5ae0e3573c6	Ndisịme ekpu ikọt ọdiọọñọ adak keed kpọt owo isinọọhọ owo udọñọ utebe inua enie inua okop ifu uta ọkọk.		Own Submission	1	5
f7bd2cc108044b147a00c9ab0d39cae8b2343bcc5cad7d42c2b56986bf2ab32f	Nsutọ inem idem ododo ntañña unọ mbo ke añwaan mmi amaaman nditọ idoho keed afịd iba akañ keed.		Own Submission	1	5
fc8ba48d128004f9a37fcee6543d9ac6fd6ff7924c2e2f3d46d8e3e2133390dc	Ete ke amaadiọk adiwuọ esion ke eded se daña nditie itie ndọk ke esa ufọk owo.		Own Submission	1	5
03f841646b2e3fb5f01b8ea187fcfd8734da30994cff13c70be3f0393e422f41	Mfịna se iba ke idʌñ ikiyakka ete udọekọñ akan adaara utọ ndise enye ekekịtte mi ke ufọk ọmọ.		Own Submission	1	6
0f53aa84dfb2cf11728f78dffb24c48eaa6da505724f04ab79e6ac318ecf2992	Ñwaan akpasọm ikikanna iwuọ ke ikọd mbaak ibaan urua enye amaatie tutu eyo akịm etәk.		Own Submission	1	6
10702d92ca7e7f4c14024f0fd4dd5e8aed5c009aae9152fe6c51b6a77e1d4d9f	Daña ekpeehe ema ñkesʌk ñkọọk iwuod ye mme mbọọñ mmi daña ekpetʌmmọ mkpọ ke ọtʌñ akpasọm.		Own Submission	1	6
173ab4e49f85b66bc178bba3fced405d5310da3232e5a490a9c2a0f63690af59	Ke andidiito ikan inam nọ akaisañ asịññe ọfọñ ufʌhọ.		Own Submission	1	6
1ad1b6ea6ee2a0cd75b67b749a5bac0fef8ac2adedbfe5395f4c1d9c77350dec	Ọtọk ikịm inyañ iduọkọduọk edem ete mmiiñwọññọ edem eka eya eñwọñ.		Own Submission	1	6
1aec95df87dbee0284db9d4cc164d376d2524d92f36352711ffd61d1bdd3fc98	Ikpọọñ ifọnnọ adakka ke ñke ibibio obogho ke ndʌñ ndiana enye odo ukpọñ idem owo.		Own Submission	1	6
1d3d668ca7fbbeb05e0ab8d625f9211d9e4e02448c10579df94de3eaa5fc6228	Ọmmọ emaedọñ idem ọmmọ okpoho ke nnuun nte idiọñọ edidiana keet.		Own Submission	1	6
2032f69b7755d193707186c80d5b71fc0c1ce0591394c3995b1d894fca5dd037	Ekesak akpaneka mmi itọ ete ke odo anam enye ọnyọñ akai ikọd akedịp iso obuud.		Own Submission	1	6
2d652e1028c22331fe2d11eb22368a364a7b2b7c4a42d01f98ccff3230a5e83d	Ke ntak inem mmịn ye ukọt emi ọmmọ ekedatta nte akpan ufan ọmmọ.		Own Submission	1	6
346670af138c49688c2d6b07c26a20a007496ec87b1fc5035ab080ffca83887c	Ana ekop nsọñidem odo ọyọhọ ọyọhọ ke ifuuro uwem.		Own Submission	1	6
3a6cca6927da09a10a15add03b38839a666c43ea99726dea8a802104c2dee11c	Kua owo kua iwuod eyịn ikọd etefia usen odo iwuod ekpai amaasọñ edibeek akan iwuod nditọ.		Own Submission	1	6
3d24fcd482cf5f277e5c8f39b81f905adae1875f31b03c8025f2b5ddb6ab0996	Iseehe mme awo ami anie ubọk mme iniehe enọ ima esịt odo isio.		Own Submission	1	6
3dacff2752379332b5940b7317db3c72fdeb234df60251ce6a1bcb4e1a9b9724	Odo sia ekọñ misimaaha udịm akpasọm mme añwanyi ñwaan ete uko emaebọkkọ.		Own Submission	1	6
3e1d691501d47d30ce950c3b17bbbca9f08dc2120740ecc34b27c8e3a9257a4b	Utom mme ọfʌn se enye ọdʌk ọnọ mkpọ ndap añwaan oko ekpebo ke odo ifu kpọd.		Own Submission	1	6
3ea7727af997f8e2504f33b865f7c067c4c97e8d0b3337054bb838d6bf74dc32	Mkpaakebed tutu mkpọñ ndien udọkọ ke ọfis añwaan mfo o ibaaha akedad ufan ọmọ isañ.		Own Submission	1	6
4426993b79c83f72c9a87c776b43681237be385acb94018b339d25c88f9fe5fb	Ọbọọñ idʌñ odo ọbọọñ efiọñ amaakop mbọm abaña mkpọntịppe odo.		Own Submission	1	6
4799c9a029b7b20bda66eab9feaf4e1feec4c7badb64de6bdf45785eb1bb3a8f	Ema edi mfịn edi mkpọñ ikọ aya atịppe.		Own Submission	1	6
49465f517f9c16e7be2e977457dd90508cc4400cc9bedd28d2bdc1e5094ebe40	Ete nsima akpan ñkọrọ mbon ọmmọ emaekesoobo ke ufọkabasi ọsọpusọp krais.		Own Submission	1	6
