client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
90648350c733573f0bb9d48cc60b81037fb57acae4d3dbfa0443b2dc5559c20fc4e15849e369f4b4a1fb7a3f3dbf332e135fd8fd85816b7c76881f71a9a7751c	common_voice_ibb_41483917.mp3	ecf776771afaabc318ac986e1f937ce2beaabd97c3f9dbc639f61054ecff5d9d	Odo ke abasi iniehe ke mkpọ ndomokeed isọññọ ikan abasi enye amaakọọm abasi akekamake ọmmọ ke isua itiaba akeboiyoke.		2	0					ibb	
90648350c733573f0bb9d48cc60b81037fb57acae4d3dbfa0443b2dc5559c20fc4e15849e369f4b4a1fb7a3f3dbf332e135fd8fd85816b7c76881f71a9a7751c	common_voice_ibb_41483925.mp3	c0d592c90bff023a665e383a20b71df887ec912fb0609c8827a24e21cd566bf6	Mmikpidoho mkpañña anie ikpiben eku ikood mkpad inaañ oto uke bad oruuk mfo ise.		2	0					ibb	
90648350c733573f0bb9d48cc60b81037fb57acae4d3dbfa0443b2dc5559c20fc4e15849e369f4b4a1fb7a3f3dbf332e135fd8fd85816b7c76881f71a9a7751c	common_voice_ibb_41483927.mp3	779b427e0fa141414592cb3be66faa77e5c802bed5904b1210e1b4f2f4f5bbdb	Ubaak ini awonwaan ase aman ayịn idaha anye akedooho etәk.		2	0					ibb	
90648350c733573f0bb9d48cc60b81037fb57acae4d3dbfa0443b2dc5559c20fc4e15849e369f4b4a1fb7a3f3dbf332e135fd8fd85816b7c76881f71a9a7751c	common_voice_ibb_41483936.mp3	3864c91cb5de73ec7fbfd3382431c225b2f570dbd834c05edb9cbe7e6e6215f4	Eyo ekesiere akpasọm amaaben nneme enye ekeniehe mme ete añwaan atañ ọnọ añwaan ọmọ.		2	0					ibb	
90648350c733573f0bb9d48cc60b81037fb57acae4d3dbfa0443b2dc5559c20fc4e15849e369f4b4a1fb7a3f3dbf332e135fd8fd85816b7c76881f71a9a7751c	common_voice_ibb_41483938.mp3	ccef33deb861b7a71c8dee7a4112d8e424003d782a41a698e36eaa2e11271e86	Ke iwuod adiaha akpasọm inọ udọ udọ imọ ñkọ emetoiyo ke akpan ete mmi akesaña usʌñ akpasọm ediwuọ ke ikọd.		2	0					ibb	
90648350c733573f0bb9d48cc60b81037fb57acae4d3dbfa0443b2dc5559c20fc4e15849e369f4b4a1fb7a3f3dbf332e135fd8fd85816b7c76881f71a9a7751c	common_voice_ibb_41483961.mp3	4044c13069f9730b705bbf5a59663a138ec3cdab649284acf5fe1e1a8f901d18	Akpedo mmọọñ ke akpennọ yak ññwoñ mkpekokop uyʌkkọ ikpikinaaha asọp ọdọñ ukọd.		2	0					ibb	
90648350c733573f0bb9d48cc60b81037fb57acae4d3dbfa0443b2dc5559c20fc4e15849e369f4b4a1fb7a3f3dbf332e135fd8fd85816b7c76881f71a9a7751c	common_voice_ibb_41483975.mp3	e15b13210d3cbb024e8799564dbff9d03984fbb06880cfb9fca537e852d83d06	Ke tutu amaama owo mfen ituukọ owo edem iwuọ isịn.		2	0					ibb	
90648350c733573f0bb9d48cc60b81037fb57acae4d3dbfa0443b2dc5559c20fc4e15849e369f4b4a1fb7a3f3dbf332e135fd8fd85816b7c76881f71a9a7751c	common_voice_ibb_41483976.mp3	6e047e31946e2d42748edae4df581112612533a416fbdf15669596ae74fc32d5	Ke ini enye akenieehe nneme mme ọkọmbʌk batrik esien ke uyo.		2	0					ibb	
90648350c733573f0bb9d48cc60b81037fb57acae4d3dbfa0443b2dc5559c20fc4e15849e369f4b4a1fb7a3f3dbf332e135fd8fd85816b7c76881f71a9a7751c	common_voice_ibb_41483977.mp3	c4c3eb420264b31c1e568abe2309f79debfd8cacb37425c889db95695b821e82	Ada iwuot ufọkutom emi amaabo ke edidat mme ndiọi ibọk nte ikọñ ekpo adat ọkpọsọñ ubiaat ibet edi ke idịt nnyịn.		2	0					ibb	
90648350c733573f0bb9d48cc60b81037fb57acae4d3dbfa0443b2dc5559c20fc4e15849e369f4b4a1fb7a3f3dbf332e135fd8fd85816b7c76881f71a9a7751c	common_voice_ibb_41483979.mp3	fedbfdc9be9f198986ec8a900e4d8bf82e7db2c3d08b05c9f2a0c72d1be1254e	Ekpọkkọ ibịt enọ uyai idiọk etịmme ada unek.		2	0					ibb	
